Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-November-2020,1977.80,1984.10,1894.60,1899.20,1924.369341147821493240,863183,56844,1661082901.00,293614,34.02,89.50,-78.60
19-November-2020,1986.40,2010.00,1968.00,1972.65,1988.166623273242784338,802733,59306,1595966958.00,255097,31.78,42.00,-13.75
18-November-2020,1997.45,2006.65,1961.00,1987.20,1980.175860199728025945,427982,29066,847479625.00,78708,18.39,45.65,-10.25
17-November-2020,2084.00,2084.00,1985.00,1992.90,2012.305935370342734915,643296,33218,1294508359.00,142610,22.17,99.00,-91.10
14-November-2020,2013.00,2016.25,1996.00,2001.80,2005.745935954438727081,100085,8102,200745082.00,39617,39.58,20.25,-11.20
13-November-2020,1990.00,2036.65,1981.00,1996.10,1985.527129434158064040,1825121,31252,3623827260.00,1276056,69.92,55.65,6.10
12-November-2020,1985.00,2008.35,1965.00,1979.85,1988.004254607401077215,711464,38178,1414393459.00,283431,39.84,43.35,-5.15
11-November-2020,2092.00,2095.35,1979.00,1996.90,2030.371527473868605220,811189,49750,1647015049.00,203295,25.06,116.35,-95.10
10-November-2020,2075.00,2090.00,2041.80,2084.50,2065.962530190044046350,1068647,32518,2207784660.00,640208,59.91,48.20,9.50
9-November-2020,2058.70,2070.00,2038.90,2050.30,2050.098848986180959616,843691,33971,1729649948.00,391982,46.46,31.10,-8.40
6-November-2020,1988.00,2040.00,1977.65,2029.00,2014.833626852469668069,1886873,100883,3801735170.00,630231,33.40,62.35,41.00
5-November-2020,1949.00,1960.00,1931.40,1955.10,1949.147173594444508462,954587,55609,1860630553.00,341428,35.77,28.60,6.10
4-November-2020,1840.00,1928.85,1840.00,1913.45,1893.810184585644172930,1065630,61401,2018100947.00,181678,17.05,88.85,73.45
3-November-2020,1888.00,1909.50,1835.00,1849.45,1873.996516619290970956,1164099,66979,2181517471.00,249547,21.44,74.50,-38.55
2-November-2020,2033.50,2033.50,1860.00,1877.30,1925.382752763904689169,1444243,99979,2780720563.00,454410,31.46,173.50,-156.20
30-October-2020,2035.00,2064.65,2022.00,2054.35,2040.803362544225441125,354434,21010,723330099.00,59640,16.83,42.65,19.35
29-October-2020,1999.40,2042.30,1990.75,2026.55,2019.521332692282703327,384785,24193,777081516.00,61211,15.91,51.55,27.15
28-October-2020,2044.00,2057.90,2006.90,2010.70,2031.090299378491909730,1519047,23215,3085321626.00,1315250,86.58,51.00,-33.30
27-October-2020,2032.00,2060.00,2005.55,2034.20,2026.917984266523826028,476055,30069,964924441.00,113652,23.87,54.45,2.20
26-October-2020,2101.00,2106.00,2018.45,2028.70,2055.300664164534505353,560855,40255,1152725654.00,186620,33.27,87.55,-72.30
23-October-2020,2109.00,2134.80,2095.65,2112.55,2121.428565654606007695,618540,26760,1312188425.00,272914,44.12,39.15,3.55
22-October-2020,2123.00,2133.05,2091.50,2107.10,2107.527532901055085671,301966,18851,636401659.00,87555,28.99,41.55,-15.90
21-October-2020,2171.10,2191.00,2098.75,2123.25,2146.322554938014093913,534557,28730,1147331746.00,155664,29.12,92.25,-47.85
20-October-2020,2183.70,2193.70,2152.20,2155.50,2163.804826741510086835,364138,17616,787923562.00,167390,45.97,41.50,-28.20
19-October-2020,2192.00,2228.40,2156.00,2175.80,2191.064841891285708607,352226,21777,771750005.00,69007,19.59,72.40,-16.20
16-October-2020,2214.80,2232.00,2173.05,2175.50,2195.077194513177417412,440109,20807,966073229.00,168565,38.30,58.95,-39.30
15-October-2020,2291.00,2291.70,2195.10,2205.55,2271.642266139796601397,1514858,18662,3441215460.00,1322717,87.32,96.60,-85.45
14-October-2020,2284.90,2304.20,2269.55,2287.35,2283.981232990564346593,306815,15320,700759702.00,99371,32.39,34.65,2.45
13-October-2020,2232.20,2285.95,2228.20,2280.25,2256.056114949825426666,409570,17920,924012903.00,193512,47.25,57.75,48.05
12-October-2020,2233.50,2254.85,2226.85,2236.60,2240.325798308432669061,262242,18094,587507518.00,78335,29.87,28.00,3.10
9-October-2020,2237.00,2252.65,2217.20,2233.70,2232.222574109408501681,305022,15084,680876994.00,145392,47.67,35.45,-3.30
8-October-2020,2261.80,2268.00,2222.40,2238.90,2237.652635196082642498,419058,18575,937706238.00,158891,37.92,45.60,-22.90
7-October-2020,2233.25,2309.40,2221.00,2257.15,2279.770259198442272554,875121,42725,1995074829.00,217472,24.85,88.40,23.90
6-October-2020,2228.00,2234.00,2201.45,2210.15,2213.592802891777758102,259771,13272,575027216.00,84613,32.57,32.55,-17.85
5-October-2020,2246.00,2249.00,2205.50,2211.15,2222.572844135657208856,393079,18602,873646711.00,151982,38.66,43.50,-34.85
1-October-2020,2264.00,2264.00,2213.85,2225.05,2237.664829230661336699,285180,14214,638137256.00,81416,28.55,50.15,-38.95
30-September-2020,2264.80,2267.55,2225.10,2233.75,2242.730484593352940045,1560690,16556,3500207040.00,1317210,84.40,42.45,-31.05
29-September-2020,2222.00,2264.00,2217.15,2244.85,2243.869930246213343908,325287,18492,729901718.00,41399,12.73,46.85,22.85
28-September-2020,2229.00,2238.70,2207.25,2215.75,2221.313230826425637957,516453,26292,1147203882.00,141025,27.31,31.45,-13.25
25-September-2020,2196.00,2212.60,2168.60,2201.70,2189.777977898011305179,413085,22864,904564436.00,114584,27.74,44.00,5.70
24-September-2020,2210.00,2226.00,2175.65,2181.15,2200.695550479296530708,439081,21729,966283603.00,173631,39.54,50.35,-28.85
23-September-2020,2275.00,2276.50,2206.15,2229.55,2241.906789951223544973,774144,40123,1735558690.00,160960,20.79,70.35,-45.45
22-September-2020,2287.00,2287.00,2201.35,2211.15,2222.409499345191048444,693332,24225,1540867623.00,370132,53.38,85.65,-75.85
21-September-2020,2305.00,2336.55,2248.00,2255.15,2297.320908406835006955,501009,25843,1150978451.00,172132,34.36,88.55,-49.85
18-September-2020,2315.80,2319.60,2277.05,2305.50,2304.813296578438199884,518389,24971,1194789860.00,231928,44.74,42.55,-10.30
17-September-2020,2319.00,2334.40,2293.00,2299.35,2309.873628118881350950,421866,17905,974457148.00,130912,31.03,41.40,-19.65
16-September-2020,2323.70,2368.80,2311.75,2323.85,2339.942507547874653226,653164,26455,1528366208.00,174187,26.67,57.05,0.15
15-September-2020,2315.00,2326.50,2288.20,2317.90,2308.135212053242618449,509141,21105,1175166270.00,148557,29.18,38.30,2.90
14-September-2020,2319.75,2360.00,2281.95,2302.35,2322.595140779643082958,619976,27379,1439953245.00,78561,12.67,78.05,-17.40
11-September-2020,2314.65,2337.00,2286.05,2318.85,2318.467343035468028422,1330635,58453,3085033793.00,379174,28.50,50.95,4.20
10-September-2020,2185.00,2343.90,2176.15,2314.65,2277.884830073208904593,2449702,98665,5580139024.00,611376,24.96,167.75,129.65
9-September-2020,2085.00,2167.20,2085.00,2161.25,2140.038331867832171120,850676,38623,1820479248.00,312223,36.70,82.20,76.25
8-September-2020,2093.80,2120.00,2080.90,2107.05,2109.509444970433858215,481632,20618,1016007253.00,211381,43.89,39.10,13.25
7-September-2020,2080.20,2105.00,2045.35,2082.40,2070.447948215262297755,625358,36193,1294771188.00,278944,44.61,59.65,2.20
4-September-2020,2065.60,2097.00,2065.60,2077.40,2084.383113023786489898,461018,28592,960938134.00,138220,29.98,31.40,11.80
3-September-2020,2128.00,2137.00,2103.20,2112.15,2113.624779089302467654,274998,17060,581242587.00,60225,21.90,33.80,-15.85
2-September-2020,2095.00,2137.00,2085.50,2128.60,2100.565585549454407146,1979773,33347,4158643031.00,1476442,74.58,51.50,33.60
1-September-2020,2095.00,2121.75,2063.45,2087.55,2091.518367881236091572,542387,26465,1134412373.00,75538,13.93,58.30,-7.45
31-August-2020,2172.00,2172.00,2061.25,2078.55,2123.540242081626987781,770897,35129,1637030802.00,141428,18.35,110.75,-93.45
28-August-2020,2120.00,2131.90,2106.20,2115.60,2119.523164507263447192,463554,26015,982513441.00,125963,27.17,25.70,-4.40
27-August-2020,2146.25,2148.50,2103.75,2111.70,2126.326387053080256098,397191,17384,844557704.00,75812,19.09,44.75,-34.55
26-August-2020,2087.40,2147.15,2047.25,2136.85,2105.394321634119176876,857465,36417,1805301942.00,158433,18.48,99.90,49.45
25-August-2020,2105.00,2111.30,2078.30,2082.00,2089.298804276547882892,481884,26648,1006799665.00,144101,29.90,33.00,-23.00
